X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
18102,18102,12886,1,0,0,0,0,0,0,40.967773,1,0,1,1,0,0,1216,0,1,1,0,0
39,39,2341,1,0,1,0,0,1,1,30,0,1,0,0,0,0,1086,0,0,0,1,2014
172,172,2443,1,0,0,0,0,0,1,32,0,1,0,1,0,0,224,0,0,1,1,2014
179,179,278,1,0,0,0,0,0,1,19,0,1,0,1,0,0,141,0,0,1,1,2014
342,342,3253,1,0,0,0,1,1,1,53,0,0,0,1,0,0,1222,0,0,0,1,2014
359,359,13979,1,1,1,1,0,1,1,63,0,1,0,0,0,0,427,0,0,0,1,2014
406,406,4162,1,1,0,1,0,1,1,41,0,1,0,1,0,0,7312,0,0,0,0,2014
743,743,13623,1,0,0,1,1,1,1,62,0,0,0,1,0,0,1272,0,0,0,1,2014
976,976,14149,1,0,0,0,0,0,1,56,0,1,0,1,0,0,781,0,1,1,1,2014
1013,1013,7896,1,0,0,0,0,0,1,40.967773,1,1,0,1,0,0,1134,0,1,1,1,2014
1077,1077,16462,1,1,1,1,1,1,1,65,0,0,0,1,0,0,1104,0,0,0,1,2014
1302,1302,16259,1,0,0,0,0,1,1,61,0,0,0,1,0,0,760,0,0,0,1,2014
1504,1504,2281,1,0,0,0,0,1,1,22,0,0,0,1,0,0,692,0,0,0,1,2014
1546,1546,13414,1,1,1,1,1,1,1,58,0,0,0,1,0,0,2238,0,0,0,1,2014
1681,1681,2361,1,0,0,0,0,0,1,58,0,1,0,1,0,0,480,0,0,1,1,2014
1741,1741,1878,1,1,0,1,1,1,1,47,0,0,0,1,0,0,524,0,0,0,1,2014
1746,1746,3346,1,0,0,0,0,0,1,24,0,0,0,0,0,0,138,0,0,1,1,2014
1784,1784,11823,1,0,1,1,1,1,1,65,0,0,0,1,0,0,2043,0,0,0,1,2014
1805,1805,10181,1,0,0,0,0,0,1,25,0,1,0,1,0,0,1625,0,1,1,1,2014
1934,1934,4672,1,0,0,0,0,1,1,40.967773,1,1,0,1,0,0,1463,0,0,0,1,2014
2009,2009,4243,1,1,1,1,1,1,1,46,0,0,0,1,0,0,951,0,0,0,1,2014
2041,2041,14729,1,0,0,0,0,0,1,47,0,0,0,1,0,0,1243,0,1,1,1,2014
2053,2053,5192,1,0,0,0,0,0,1,22,0,0,0,1,0,0,802,0,1,1,1,2014
2158,2158,13017,1,0,0,0,1,0,1,40.967773,1,0,1,1,0,0,1162,0,0,0,1,2014
2222,2222,10383,1,0,1,0,0,1,1,39,0,1,0,0,0,0,1363,0,0,0,1,2014
2238,2238,13353,1,0,0,0,0,0,1,50,0,0,0,0,0,0,203,0,0,1,1,2014
2252,2252,4854,1,1,1,1,1,1,1,83,0,0,0,1,0,0,1282,0,0,0,1,2014
2449,2449,7320,1,0,0,0,0,0,1,59,0,1,0,0,0,0,300,0,0,1,1,2014
