Name                                                      ,Institution                                                                ,Project Type   ,Cost
La Societe du Rhum Barbancourt S.A                        ,La Societe du Rhum Barbancourt S.A                                         ,CompanyClimate ,5M
Alpaslan II Hydropower Plant                              ,Energo-Pro                                                                 ,ProjectClimate ,600M
Philippines Smart Solar Network                           ,Philippines Smart Solar Pte Ltd                                            ,ProjectClimate ,200M
Palau Solar                                               ,Solar Pacific Energy Corporation                                           ,ProjectClimate ,29M
Scatec Sidi Bouzid Mezzouna PV Power                      ,Scatec Solar ASA                                                           ,ProjectClimate ,51M
Nyamwamba II Hydroelectric Power Plant                    ,Serengeti Energy                                                           ,ProjectClimate ,22M
Lesotho Solar Mini-Grids                                  ,OnePower                                                                   ,ProjectClimate ,10M
Companhia Energetica de Pernambuco                        ,Neoenergia S.A                                                             ,CompanyClimate ,159M
Binh Duong Composting Plant and WTE Facility              ,BIWASE                                                                     ,ProjectClimate ,49M
El Minya Solar PV                                         ,TAQA Arabia                                                                ,ProjectClimate ,6M
Zarafshon Wind Farm                                       ,Masdar Clean Energy                                                        ,ProjectClimate ,593M
Cuamba Solar PV Plant & Battery Storage Facility          ,Globeleq                                                                   ,ProjectClimate ,36M
Bukhara Solar and Battery Energy Storage                  ,Masdar Clean Energy                                                        ,ProjectClimate ,316M
Garadagh Solar Power Project                              ,Masdar Clean Energy                                                        ,ProjectClimate ,262M
Abydos Solar PV                                           ,AMEA Power LLC                                                             ,ProjectClimate ,400M
Sodigaz Burkina Faso                                      ,Sodigaz APC SA                                                             ,ProjectClimate ,21M
Lexo Energy                                               ,Lexo Energy                                                                ,ProjectClimate ,22M
Bocom Clean Cooking                                       ,BOCOM PETROLEUM SA                                                         ,CompanyClimate ,52M
Equatorial Coca-Cola Bottling Company                     ,Equatorial Coca Cola Bottling Company                                      ,CompanyClimate ,84M
Fourth Partner Energy AssetCo                             ,Fourth Partner Energy Private Limited                                      ,ProjectClimate ,343M
Nikopolska Solar Power Plant Project                      ,DTEK Renewables                                                            ,ProjectClimate ,282M
Navoi Solar Power Project                                 ,Masdar Clean Energy                                                        ,ProjectClimate ,188M
Prime Road National Solar Park Project                    ,Prime Road Group                                                           ,ProjectClimate ,41M
Spectra Solar Power Project                               ,Spectra Group                                                              ,ProjectClimate ,45M
Eastern Indonesia Renewable Energy Project (Phase 1)      ,Equis Group                                                                ,ProjectClimate ,121M
MHP Ukraine                                               ,MHP                                                                        ,CompanyClimate ,552M
Kairouan Solar Plant                                      ,AMEA Power LLC                                                             ,ProjectClimate ,86M
Walo Solar and Storage                                    ,Africa REN                                                                 ,ProjectClimate ,43M
