"country","region","iso3c","perc_wip","gdp_pc","corruption","hdi","glob_index","fh_polity","fh_status"
"Afghanistan","Asia","AFG",27.8688526153564,1934.55505371094,0.907999992370606,0.50900000333786,38.519566,3.5,"Not Free"
"Albania","Europe","ALB",27.8571434020996,11104.166015625,0.796000003814697,0.791999995708466,66.65049,8.083333,"Partly Free"
"Algeria","Africa","DZA",25.7575759887695,14228.025390625,0.71399998664856,0.745999991893768,56.150364,4.25,"Not Free"
"Andorra","Europe","AND",32.1428565979004,NA,NA,0.866999983787537,50.38084,10,"Free"
"Angola","Africa","AGO",30.4545459747314,7771.44189453125,0.629000008106232,0.582000017166138,42.808849,3.25,"Not Free"
"Antigua and Barbuda","Americas","ATG",11.1111106872559,NA,NA,0.772000014781952,58.095699,8.5881329,"Free"
"Azerbaijan","Asia","AZE",16.7999992370606,16628.0546875,0.939000010490418,0.754000008106232,67.758461,1.1666666,"Not Free"
"Argentina","Americas","ARG",38.9105072021484,18556.3828125,0.405000001192093,0.842000007629395,71.313385,8.916666,"Free"
"Australia","Oceania","AUS",28.6666660308838,49830.80078125,0.0320000015199184,0.943000018596649,81.509079,10,"Free"
"Austria","Europe","AUT",34.4262313842773,42988.0703125,0.0590000003576279,0.921000003814697,88.557396,10,"Free"
"Bahamas (the)","Americas","BHS",12.8205127716065,NA,NA,0.811999976634979,55.873173,10,"Free"
"Bahrain","Asia","BHR",15,39498.765625,0.693000018596649,0.851999998092651,68.923355,0.41666666,"Not Free"
"Bangladesh","Asia","BGD",20.2857151031494,4099.2529296875,0.884999990463257,0.625,50.123466,2.6666665,"Partly Free"
"Armenia","Asia","ARM",18.0952377319336,11454.4248046875,0.456000000238419,0.771000027656555,68.422638,6.75,"Partly Free"
"Barbados","Americas","BRB",20,11995.1865234375,0.115000002086163,0.810000002384186,62.946014,10,"Free"
"Belgium","Europe","BEL",38,39756.203125,0.0219999998807907,0.930000007152557,90.463272,9.5,"Free"
"Bhutan","Asia","BTN",14.8936166763306,NA,0.120999999344349,0.648999989032745,41.659191,7.166667,"Partly Free"
"Bolivia (Plurinational State of)","Americas","BOL",53.0769233703613,6695.7744140625,0.66100001335144,0.71399998664856,58.670597,7.583333,"Partly Free"
"Bosnia and Herzegovina","Europe","BIH",21.4285717010498,10460.5205078125,0.6700000166893,0.77700001001358,68.784035,5.3295422,"Partly Free"
"Botswana","Africa","BWA",9.5238094329834,15842.1298828125,0.144999995827675,0.730000019073486,55.59417,8.25,"Free"
"Brazil","Americas","BRA",15.0097465515137,14033.5654296875,0.574999988079071,0.762000024318695,64.488739,8.666666,"Free"
"Belize","Americas","BLZ",9.375,NA,NA,0.71399998664856,56.156536,9.4027815,"Free"
"Solomon Islands","Oceania","SLB",2.04081630706787,NA,0.603999972343445,0.564000010490417,42.480885,8.666666,"Free"
"Brunei Darussalam","Asia","BRN",9.09090900421143,NA,NA,0.836000025272369,62.119213,2.8855987,"Not Free"
"Bulgaria","Europe","BGR",23.75,18444.259765625,0.535000026226044,0.813000023365021,79.76535,8.916666,"Free"
"Myanmar","Asia","MMR",10.1616630554199,5838.21728515625,0.363999992609024,0.578999996185303,43.733898,6.1666665,"Partly Free"
"Burundi","Africa","BDI",36.3636360168457,651.35888671875,0.953000009059906,0.430999994277954,40.108585,2.6666667,"Not Free"
"Belarus","Europe","BLR",34.5454559326172,18727.318359375,0.337999999523163,0.823000013828278,67.590782,1.1666666,"Not Free"
"Cambodia","Asia","KHM",20,3628.56103515625,0.897000014781952,0.584999978542328,59.286125,2.75,"Not Free"
"Cameroon","Africa","CMR",31.1111106872559,2888.0458984375,0.933000028133392,0.560000002384186,50.507633,2.3333333,"Not Free"
"Canada","Americas","CAN",26.9461078643799,44868.7421875,0.025000000372529,0.927999973297119,84.180725,10,"Free"
"Cabo Verde","Africa","CPV",23.6111106872559,6831.2158203125,0.187000006437302,0.662999987602234,56.285774,10,"Free"
"Central African Republic (the)","Africa","CAF",8.5714282989502,623.488891601562,0.749000012874603,0.395000010728836,37.903091,4,"Not Free"
"Sri Lanka","Asia","LKA",5.77777767181396,11662.90625,0.495000004768372,0.778999984264374,59.794724,6.916667,"Partly Free"
"Chad","Africa","TCD",15.2542371749878,2046.36315917969,0.939999997615814,0.397000014781952,41.433044,2.4166667,"Not Free"
"Chile","Americas","CHL",22.580644607544,22104.765625,0.0590000003576279,0.848999977111816,76.079399,10,"Free"
"China","Asia","CHN",24.8993282318115,13101.7060546875,0.36599999666214,0.754999995231628,64.282669,1.1666666,"Not Free"
"Taiwan (Province of China)","Asia","TWN",NA,44663.86328125,0.273999989032745,NA,NA,10,"Free"
"Colombia","Americas","COL",18.1286544799805,13545.0498046875,0.465000003576279,0.763999998569489,63.659065,7.583333,"Partly Free"
"Comoros (the)","Africa","COM",6.06060600280762,1724.42065429688,0.782000005245209,0.551999986171722,40.41568,4.25,"Partly Free"
"Congo (the)","Africa","COG",11.2582778930664,5714.591796875,0.843999981880188,0.573000013828278,53.673351,2.3333333,"Not Free"
"Congo (the Democratic Republic of the)","Africa","COD",8.94308948516846,859.381713867188,0.966000020503998,0.477999985218048,44.543842,2.1666667,"Not Free"
"Costa Rica","Americas","CRI",45.6140365600586,14686.25390625,0.193000003695488,0.808000028133392,71.491898,10,"Free"
"Croatia","Europe","HRV",18.543046951294,22012.314453125,0.377000004053116,0.84799998998642,81.19175,9.333334,"Free"
"Cuba","Americas","CUB",53.2231407165527,8325.630859375,0.441000014543533,0.781000018119812,62.116535,1.6666666,"Not Free"
"Cyprus","Asia","CYP",17.8571434020996,27184.416015625,0.158000007271767,0.884999990463257,83.062698,10,"Free"
"Czechia","Europe","CZE",22,30748.5078125,0.216000005602837,0.898000001907349,84.882538,9.75,"Free"
"Benin","Africa","BEN",7.22891569137573,2220.17651367188,0.433999985456467,0.541000008583069,50.958771,8.416666,"Free"
"Denmark","Europe","DNK",37.4301681518555,46312.34375,0.0020000000949949,0.939000010490418,87.962616,10,"Free"
"Dominica","Americas","DMA",25,9021.173828125,NA,0.737999975681305,54.077381,10,"Free"
"Dominican Republic (the)","Americas","DOM",26.8421058654785,15912.3994140625,0.862999975681305,0.750999987125397,65.311241,7.583333,"Partly Free"
"Ecuador","Americas","ECU",37.9562034606934,10638.8251953125,0.601999998092651,0.762000024318695,60.050743,7.083333,"Partly Free"
"El Salvador","Americas","SLV",30.9523811340332,8598.1982421875,0.72299998998642,0.6700000166893,65.039696,8.25,"Free"
"Equatorial Guinea","Africa","GNQ",20,28528.953125,0.867999970912933,0.582000017166138,46.109715,1,"Not Free"
"Ethiopia","Africa","ETH",38.7568550109863,1838.49035644531,0.501999974250793,0.477999985218048,45.472832,3.5833333,"Not Free"
"Eritrea","Africa","ERI",22,NA,0.671000003814697,0.456000000238419,30.989311,0.75,"Not Free"
"Estonia","Europe","EST",26.7326736450195,27408.6640625,0.0430000014603138,0.888999998569489,82.90509,9.75,"Free"
"Fiji","Oceania","FJI",19.6078433990479,NA,0.236000001430512,0.741999983787537,57.240929,6.333333,"Partly Free"
"Finland","Europe","FIN",42,38896.69921875,0.0280000008642673,0.936999976634979,87.70063,10,"Free"
"France","Europe","FRA",39.5833320617676,38515.91796875,0.0579999983310699,0.898000001907349,87.692139,9.583334,"Free"
"Djibouti","Africa","DJI",26.1538467407227,3295.68139648438,0.714999973773956,0.51800000667572,57.021881,4.5,"Not Free"
"Gabon","Africa","GAB",17.9104480743408,17613.556640625,0.804000020027161,0.697000026702881,53.474396,4.0833335,"Not Free"
"Georgia","Asia","GEO",16,11984.9052734375,0.140000000596046,0.805000007152557,71.580185,7.583333,"Partly Free"
"Gambia (the)","Africa","GMB",10.3448276519775,1882.23986816406,0.28099998831749,0.486999988555908,53.436855,5.583333,"Partly Free"
"Germany","Europe","DEU",30.7475318908691,46177.6171875,0.0130000002682209,0.945999979972839,88.829437,10,"Free"
"Ghana","Africa","GHA",12.7272729873657,4267.06689453125,0.63400000333786,0.606000006198883,61.128242,9.083334,"Free"
"Kiribati","Oceania","KIR",6.52173900604248,NA,NA,0.628000020980835,45.771084,10,"Free"
"Greece","Europe","GRC",18.6666660308838,23450.765625,0.232999995350838,0.880999982357025,82.891174,9.583334,"Free"
"Grenada","Americas","GRD",46.6666679382324,NA,NA,0.773000001907349,52.377945,9.4027815,"Free"
"Guatemala","Americas","GTM",12.6582279205322,7402.11474609375,0.75900000333786,0.657000005245209,61.653423,7,"Partly Free"
"Guinea","Africa","GIN",21.9298248291016,1606.46655273438,0.851999998092651,0.47299998998642,48.34137,5.583333,"Partly Free"
"Guyana","Americas","GUY",31.8840579986572,NA,0.367000013589859,0.680000007152557,53.799271,8,"Free"
"Haiti","Americas","HTI",2.54237294197083,1729.04321289062,0.901000022888184,0.508000016212463,44.514465,5.4166665,"Partly Free"
"Honduras","Americas","HND",21.09375,5041.63525390625,0.837999999523163,0.633000016212463,60.490791,6.75,"Partly Free"
"Hungary","Europe","HUN",12.5628137588501,25622.8125,0.486999988555908,0.850000023841858,83.82531,8.333333,"Partly Free"
"Iceland","Europe","ISL",38.0952377319336,43438.54296875,0.0109999999403954,0.945999979972839,71.908981,10,"Free"
"India","Asia","IND",11.8081178665161,6806.49853515625,0.419999986886978,0.642000019550323,62.233463,8.5,"Free"
"Indonesia","Asia","IDN",19.8214282989502,11851.7373046875,0.75,0.712000012397766,63.222244,8.083333,"Partly Free"
"Iran (Islamic Republic of)","Asia","IRN",5.88235282897949,17011.3046875,0.824999988079071,0.785000026226044,53.792931,1.5833333,"Not Free"
"Iraq","Asia","IRQ",25.2279644012451,12835.8125,0.805000007152557,0.671000003814697,46.729858,5.25,"Not Free"
"Ireland","Europe","IRL",22.1518993377686,64684.30078125,0.0329999998211861,0.950999975204468,85.543022,10,"Free"
"Israel","Asia","ISR",27.5,32954.76953125,0.144999995827675,0.916000008583069,76.878822,7.75,"Free"
"Italy","Europe","ITA",35.7142868041992,34364.16796875,0.202000007033348,0.889999985694885,82.820877,10,"Free"
"Côte d'Ivoire","Africa","CIV",10.5882349014282,3713.6435546875,0.486999988555908,0.533999979496002,53.452549,6,"Partly Free"
"Jamaica","Americas","JAM",17.4603176116943,7272.98046875,0.136000007390976,0.734000027179718,62.19939,8.916666,"Free"
"Japan","Asia","JPN",10.1075267791748,38673.80859375,0.100000001490116,0.916999995708466,78.395096,10,"Free"
"Kazakhstan","Asia","KAZ",27.10280418396,25307.5546875,0.862999975681305,0.819000005722046,64.136139,1.8333333,"Not Free"
"Jordan","Asia","JOR",15.384614944458,11506.337890625,0.483999997377396,0.727999985218048,73.401825,3.4166665,"Partly Free"
"Kenya","Africa","KEN",21.7765045166016,3377.47045898438,0.64300000667572,0.598999977111816,55.79269,7.25,"Partly Free"
"Korea (the Democratic People's Republic of)","Asia","PRK",16.3027648925781,1596.35168457031,0.763000011444092,NA,NA,0,"Not Free"
"Korea (the Republic of)","Asia","KOR",17,37927.609375,0.130999997258186,0.913999974727631,78.479134,8.666666,"Free"
"Kuwait","Asia","KWT",3.07692313194275,65520.73828125,0.521000027656555,0.806999981403351,71.856567,2.4166665,"Partly Free"
"Kyrgyzstan","Asia","KGZ",19.1666660308838,5176.98828125,0.810000002384186,0.695999979972839,62.324631,6.583333,"Partly Free"
"Lao People's Democratic Republic (the)","Asia","LAO",27.5167789459229,6450.90673828125,0.772000014781952,0.609000027179718,45.371822,1.1666666,"Not Free"
"Lebanon","Asia","LBN",4.6875,12558.966796875,0.726000010967255,0.746999979019165,67.682686,6.083333,"Partly Free"
"Lesotho","Africa","LSO",22.1311473846436,2731.46606445312,0.495999991893768,0.522000014781952,48.992847,7.833333,"Partly Free"
"Latvia","Europe","LVA",31,24312.677734375,0.152999997138977,0.862999975681305,79.771698,8.666666,"Free"
"Liberia","Africa","LBR",12.3287668228149,818.421081542969,0.8299999833107,0.479999989271164,47.733402,7.583333,"Partly Free"
"Libya","Africa","LBY",15.957447052002,15013.3125,0.787999987602234,0.721000015735626,55.284229,2.9166667,"Not Free"
