identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
1,1.23,71,Male,North East,"Yes, voted",Conservative,I voted to Leave,City & Guilds certificate,Low,Retired,7,1,I consent to taking part in this study,2,Conservative Party,Labour Party,1,58,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
2,0.93,77,Male,North East,"Yes, voted",Conservative,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,6,1,I consent to taking part in this study,5,Conservative Party,Liberal Democrats,1,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,50,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
3,0.93,71,Male,Yorkshire and the Humber,"Yes, voted",Conservative,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,6,3,I consent to taking part in this study,5,Conservative Party,Labour Party,1,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
4,0.84,67,Male,East of England,"Yes, voted",Conservative,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,7,4,I consent to taking part in this study,1,Reform UK,Green Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
5,0.8,57,Male,South West,"Yes, voted",Conservative,I voted to Leave,City & Guilds certificate,Low,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,1,Conservative Party,Green Party,1,70,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,32,Strongly disagree,Almost never,Neither happy nor upset
6,1.13,61,Male,London,"Yes, voted",Other,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,2,I consent to taking part in this study,3,Reform UK,Liberal Democrats,1,Not Asked,Not Asked,88,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,31,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
7,0.85,71,Male,West Midlands,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,4,2,I consent to taking part in this study,4,Conservative Party,Labour Party,1,84,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
8,0.7,68,Female,South East,"No, did not vote",,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,6,1,I consent to taking part in this study,3,Conservative Party,Labour Party,1,66,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,48,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Don't know
9,1.13,59,Male,London,"No, did not vote",,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,6,3,I consent to taking part in this study,6,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,2,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
10,0.61,71,Female,South East,Don’t know,,I voted to Leave,ONC,Medium,Working part time (8-29 hours a week),9,3,I consent to taking part in this study,5,Conservative Party,Reform UK,1,75,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,35,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,About half of the time,Neither happy nor upset
